year,state,state_po,dem_votes,gop_votes,dem_share
1996,PENNSYLVANIA,PA,2215819,1801169,0.5516120536083254
1996,RHODE ISLAND,RI,233050,104683,0.690042133874984
1996,SOUTH CAROLINA,SC,506152,573339,0.46888024078014545
1996,SOUTH DAKOTA,SD,139333,150543,0.48066414604865526
1996,TENNESSEE,TN,909146,863530,0.5128664234186056
1996,TEXAS,TX,2459683,2736167,0.4733937661787773
1996,UTAH,UT,221633,361911,0.3798051218074387
1996,VERMONT,VT,137894,80352,0.6318283038406202
1996,VIRGINIA,VA,1091060,1138350,0.4893940549293311
1996,WASHINGTON,WA,1123323,840712,0.5719465284478128
1996,WEST VIRGINIA,WV,327812,233946,0.5835466517610786
1996,WISCONSIN,WI,1071971,845029,0.5591919666145019
1996,WYOMING,WY,77934,105388,0.42512082565104026
2000,ALABAMA,AL,692611,941173,0.42393058078668905
2000,ALASKA,AK,79004,167398,0.3206305143627081
2000,ARIZONA,AZ,685341,781652,0.46717400832860145
2000,ARKANSAS,AR,422768,472940,0.47199310489579194
2000,CALIFORNIA,CA,5861203,4567429,0.5620298999907178
2000,COLORADO,CO,738227,883748,0.45514080056720974
2000,CONNECTICUT,CT,816015,561094,0.5925565804885452
2000,DELAWARE,DE,180068,137288,0.5674006478528845
2000,DISTRICT OF COLUMBIA,DC,171923,18073,0.9048769447777848
2000,FLORIDA,FL,2912253,2912790,0.49995390591966443
2000,GEORGIA,GA,1116230,1419720,0.4401624637709734
2000,HAWAII,HI,205286,137845,0.5982729628042934
2000,IDAHO,ID,138637,336937,0.29151509544255994
2000,ILLINOIS,IL,2589026,2019421,0.5618001031583959
2000,INDIANA,IN,901980,1245836,0.41995217467418067
2000,IOWA,IA,638517,634373,0.5016277918751817
2000,KANSAS,KS,399276,622332,0.39083092536471914
2000,KENTUCKY,KY,638923,872520,0.42272384734323426
2000,LOUISIANA,LA,792344,927871,0.4606075403365277
2000,MAINE,ME,319951,286616,0.5274784154100042
2000,MARYLAND,MD,1144008,813827,0.584322989424543
2000,MASSACHUSETTS,MA,1616487,878502,0.6478934376063381
2000,MICHIGAN,MI,2170418,1953139,0.5263460648173409
2000,MINNESOTA,MN,1168266,1109659,0.5128641197581132
2000,MISSISSIPPI,MS,404614,572844,0.4139451516075371
2000,MISSOURI,MO,1111138,1189924,0.48288051343249333
2000,MONTANA,MT,137126,240178,0.3634363802133028
2000,NEBRASKA,NE,231780,433862,0.34820519137914974
2000,NEVADA,NV,279978,301575,0.4814316150032757
2000,NEW HAMPSHIRE,NH,266348,273559,0.49332199804781196
2000,NEW JERSEY,NJ,1788850,1284173,0.5821140941672093
2000,NEW MEXICO,NM,286783,286417,0.5003192602930914
2000,NEW YORK,NY,3942215,2258577,0.6357599158301068
2000,NORTH CAROLINA,NC,1257692,1631163,0.4353600301849695
2000,NORTH DAKOTA,ND,95284,174852,0.3527260342938372
2000,OHIO,OH,2183628,2350363,0.4816127777933392
2000,OKLAHOMA,OK,474276,744337,0.38919328777881085
2000,OREGON,OR,720342,713577,0.5023589198553057
2000,PENNSYLVANIA,PA,2485967,2281127,0.5214847871680315
2000,RHODE ISLAND,RI,249508,130555,0.6564911606759932
2000,SOUTH CAROLINA,SC,566037,786892,0.4183789393234974
2000,SOUTH DAKOTA,SD,118804,190700,0.38385287427626136
2000,TENNESSEE,TN,981720,1061949,0.48037133214820993
2000,TEXAS,TX,2433746,3799639,0.3904372985143706
2000,UTAH,UT,203053,515096,0.2827449456867586
2000,VERMONT,VT,149022,119775,0.554403508967734
2000,VIRGINIA,VA,1217290,1437490,0.4585276369416675
2000,WASHINGTON,WA,1247652,1108864,0.5294477100940541
2000,WEST VIRGINIA,WV,295497,336475,0.46757925984062587
2000,WISCONSIN,WI,1242987,1237279,0.5011506830315781
2000,WYOMING,WY,60481,147947,0.2901769435968296
2004,ALABAMA,AL,693933,1176394,0.3710222864771775
2004,ALASKA,AK,111025,190889,0.3677371701875368
2004,ARIZONA,AZ,893524,1104294,0.4472499496951174
2004,ARKANSAS,AR,469953,572898,0.4506425174833222
2004,CALIFORNIA,CA,6745485,5509826,0.5504132045282245
2004,COLORADO,CO,1001732,1101255,0.47633770441757367
2004,CONNECTICUT,CT,857488,693826,0.5527494756058412
2004,DELAWARE,DE,200152,171660,0.5383150624509161
2004,DISTRICT OF COLUMBIA,DC,202970,21256,0.9052027864743607
2004,FLORIDA,FL,3583544,3964522,0.47476320424331214
2004,GEORGIA,GA,1366149,1914254,0.4164576730359044
2004,HAWAII,HI,231708,194191,0.5440444800293027
2004,IDAHO,ID,181098,409235,0.306772618166357
2004,ILLINOIS,IL,2891550,2345946,0.5520863404955345
2004,INDIANA,IN,969011,1479438,0.3957652375034154
2004,IOWA,IA,741898,751957,0.49663320737287087
2004,KANSAS,KS,434993,736456,0.3713290121891777
2004,KENTUCKY,KY,712733,1069439,0.39992380084526075
2004,LOUISIANA,LA,820299,1102169,0.4266905873075651
2004,MAINE,ME,396842,330201,0.545830164103086
2004,MARYLAND,MD,1334493,1024703,0.565655842075012
2004,MASSACHUSETTS,MA,1803800,1071109,0.6274285551299189
2004,MICHIGAN,MI,2479183,2313746,0.5172584446796521
2004,MINNESOTA,MN,1445014,1346695,0.5176091061066895
2004,MISSISSIPPI,MS,457766,672660,0.40494999230378637
2004,MISSOURI,MO,1259171,1455713,0.4638028733456015
2004,MONTANA,MT,173710,266063,0.39499923824336647
2004,NEBRASKA,NE,254328,512814,0.331526627404053
2004,NEVADA,NV,397190,418690,0.486824042751385
2004,NEW HAMPSHIRE,NH,340511,331237,0.5069028862013731
2004,NEW JERSEY,NJ,1911430,1670003,0.5337053631884221
2004,NEW MEXICO,NM,370942,376930,0.49599664113645114
2004,NEW YORK,NY,4180755,2806993,0.5982979065644611
2004,NORTH CAROLINA,NC,1525849,1961166,0.4375802799815888
2004,NORTH DAKOTA,ND,111052,196651,0.36090645850056713
2004,OHIO,OH,2741165,2859764,0.4894125599521079
2004,OKLAHOMA,OK,503966,959792,0.3442959833524394
2004,OREGON,OR,943163,866831,0.5210862577445008
2004,PENNSYLVANIA,PA,2938095,2793847,0.5125828209706239
2004,RHODE ISLAND,RI,259760,169046,0.6057751057587814
2004,SOUTH CAROLINA,SC,661669,937974,0.4136354174025079
2004,SOUTH DAKOTA,SD,149244,232584,0.39086709198906316
2004,TENNESSEE,TN,1036477,1384375,0.4281455454525927
2004,TEXAS,TX,2832704,4526917,0.38489808102890083
2004,UTAH,UT,241199,663742,0.2665356083987796
2004,VERMONT,VT,184067,121180,0.6030100213925116
2004,VIRGINIA,VA,1454742,1716959,0.4586630328646994
2004,WASHINGTON,WA,1510201,1304894,0.5364653768345296
2004,WEST VIRGINIA,WV,326541,423778,0.43520289370254517
2004,WISCONSIN,WI,1489504,1478120,0.5019180327426924
2004,WYOMING,WY,70776,167629,0.29687296826828297
2008,ALABAMA,AL,813479,1266546,0.39109097246427327
2008,ALASKA,AK,123594,193841,0.389352150834029
2008,ARIZONA,AZ,1034707,1230111,0.4568609928038368
2008,ARKANSAS,AR,422310,638017,0.3982827938928274
2008,CALIFORNIA,CA,8274473,5011781,0.622784495915854
2008,COLORADO,CO,1288576,1073589,0.5455063469317343
2008,CONNECTICUT,CT,997772,629428,0.6131833824975418
2008,DELAWARE,DE,255459,152374,0.6263813864988855
2008,DISTRICT OF COLUMBIA,DC,245800,17367,0.9340076833341566
2008,FLORIDA,FL,4282074,4045624,0.514196600308993
2008,GEORGIA,GA,1844123,2048759,0.47371664489188214
2008,HAWAII,HI,325871,120566,0.7299372587845542
2008,IDAHO,ID,236440,403012,0.3697541019497945
2008,ILLINOIS,IL,3419348,2031179,0.6273426404455936
2008,INDIANA,IN,1374039,1345648,0.5052195344537809
2008,IOWA,IA,828940,682379,0.5484877778946735
2008,KANSAS,KS,514765,699655,0.42387724181090564
2008,KENTUCKY,KY,751985,1048462,0.4176657241229539
2008,LOUISIANA,LA,782989,1148275,0.40542825838414637
2008,MAINE,ME,421923,295273,0.588295249834076
2008,MARYLAND,MD,1629467,959862,0.6293008729288553
2008,MASSACHUSETTS,MA,1904097,1108854,0.6319707821335295
2008,MICHIGAN,MI,2872579,2048639,0.5837130157615452
2008,MINNESOTA,MN,1573354,1275409,0.5522937499539273
2008,MISSISSIPPI,MS,554662,724597,0.43358069007136163
2008,MISSOURI,MO,1441911,1445814,0.4993242085032335
2008,MONTANA,MT,231667,242763,0.4883059671605927
2008,NEBRASKA,NE,333319,452979,0.4239092557783436
2008,NEVADA,NV,533736,412827,0.563867381251961
2008,NEW HAMPSHIRE,NH,384826,316534,0.548685411201095
2008,NEW JERSEY,NJ,2215422,1613207,0.5786462987142394
2008,NEW MEXICO,NM,472422,346832,0.5766490001879759
2008,NEW YORK,NY,4645332,2418323,0.6576385737978426
2008,NORTH CAROLINA,NC,2142651,2128474,0.5016596330006732
2008,NORTH DAKOTA,ND,141278,168601,0.4559134371803188
2008,OHIO,OH,2940044,2677820,0.5233384076225412
2008,OKLAHOMA,OK,502496,960165,0.343549188773065
2008,OREGON,OR,1037291,738475,0.5841372117722718
2008,PENNSYLVANIA,PA,3276363,2655885,0.5522970381548445
2008,RHODE ISLAND,RI,296571,165391,0.6419813750914577
2008,SOUTH CAROLINA,SC,862449,1034896,0.4545557081079087
2008,SOUTH DAKOTA,SD,170924,203054,0.45704292765884624
2008,TENNESSEE,TN,1087437,1479178,0.4236852819764554
2008,TEXAS,TX,3528633,4479328,0.4406406324905928
2008,UTAH,UT,327670,596030,0.35473638627259935
2008,VERMONT,VT,219262,98974,0.688991817393381
2008,VIRGINIA,VA,1959532,1725005,0.5318258440612755
2008,WASHINGTON,WA,1750848,1229216,0.5875202680210895
2008,WEST VIRGINIA,WV,303857,397466,0.4332625623286275
2008,WISCONSIN,WI,1677211,1262393,0.5705567824781841
2008,WYOMING,WY,82868,164958,0.3343797664490409
2012,ALABAMA,AL,795696,1255925,0.38783771466562295
2012,ALASKA,AK,122640,164676,0.4268470951843963
2012,ARIZONA,AZ,1025232,1233654,0.4538661977629681
2012,ARKANSAS,AR,394409,647744,0.3784559464877038
2012,CALIFORNIA,CA,7854285,4839958,0.6187281116329663
2012,COLORADO,CO,1323101,1185243,0.5274798831420252
2012,CONNECTICUT,CT,905083,634892,0.587725774769071
2012,DELAWARE,DE,242584,165484,0.5944695491927816
2012,DISTRICT OF COLUMBIA,DC,267070,21381,0.9258764920211752
2012,FLORIDA,FL,4237756,4163447,0.5044225213936623
